,region,year,sex,status,percentage
58,Central Finland,1999,male,"Employed, as % of total population",41.4
59,Central Finland,1999,male,"Students, as % of total population",8.0
60,Central Finland,2000,combined,"Employed, as % of total population",39.7
61,Central Finland,2000,combined,"Students, as % of total population",8.3
62,Central Finland,2000,female,"Employed, as % of total population",36.9
63,Central Finland,2000,female,"Students, as % of total population",8.7
64,Central Finland,2000,male,"Employed, as % of total population",42.6
65,Central Finland,2000,male,"Students, as % of total population",8.0
66,Central Finland,2001,combined,"Employed, as % of total population",39.6
67,Central Finland,2001,combined,"Students, as % of total population",8.6
68,Central Finland,2001,female,"Employed, as % of total population",37.0
69,Central Finland,2001,female,"Students, as % of total population",9.0
70,Central Finland,2001,male,"Employed, as % of total population",42.3
71,Central Finland,2001,male,"Students, as % of total population",8.1
72,Central Finland,2002,combined,"Employed, as % of total population",39.9
73,Central Finland,2002,combined,"Students, as % of total population",8.4
74,Central Finland,2002,female,"Employed, as % of total population",37.5
75,Central Finland,2002,female,"Students, as % of total population",8.8
76,Central Finland,2002,male,"Employed, as % of total population",42.3
77,Central Finland,2002,male,"Students, as % of total population",8.1
78,Central Finland,2003,combined,"Employed, as % of total population",39.9
79,Central Finland,2003,combined,"Students, as % of total population",8.7
80,Central Finland,2003,female,"Employed, as % of total population",37.6
81,Central Finland,2003,female,"Students, as % of total population",9.0
82,Central Finland,2003,male,"Employed, as % of total population",42.4
83,Central Finland,2003,male,"Students, as % of total population",8.4
84,Central Finland,2004,combined,"Employed, as % of total population",40.2
85,Central Finland,2004,combined,"Students, as % of total population",8.7
86,Central Finland,2004,female,"Employed, as % of total population",37.8
87,Central Finland,2004,female,"Students, as % of total population",9.0
88,Central Finland,2004,male,"Employed, as % of total population",42.6
89,Central Finland,2004,male,"Students, as % of total population",8.4
90,Central Finland,2005,combined,"Employed, as % of total population",39.9
91,Central Finland,2005,combined,"Students, as % of total population",9.1
92,Central Finland,2005,female,"Employed, as % of total population",37.4
93,Central Finland,2005,female,"Students, as % of total population",9.3
94,Central Finland,2005,male,"Employed, as % of total population",42.4
95,Central Finland,2005,male,"Students, as % of total population",8.9
96,Central Finland,2006,combined,"Employed, as % of total population",40.7
97,Central Finland,2006,combined,"Students, as % of total population",8.9
98,Central Finland,2006,female,"Employed, as % of total population",38.2
99,Central Finland,2006,female,"Students, as % of total population",9.2
100,Central Finland,2006,male,"Employed, as % of total population",43.3
101,Central Finland,2006,male,"Students, as % of total population",8.7
102,Central Finland,2007,combined,"Employed, as % of total population",41.4
103,Central Finland,2007,combined,"Students, as % of total population",8.7
104,Central Finland,2007,female,"Employed, as % of total population",39.1
105,Central Finland,2007,female,"Students, as % of total population",9.0
106,Central Finland,2007,male,"Employed, as % of total population",43.8
107,Central Finland,2007,male,"Students, as % of total population",8.5
108,Central Finland,2008,combined,"Employed, as % of total population",41.5
109,Central Finland,2008,combined,"Students, as % of total population",8.5
110,Central Finland,2008,female,"Employed, as % of total population",39.7
111,Central Finland,2008,female,"Students, as % of total population",8.7
112,Central Finland,2008,male,"Employed, as % of total population",43.3
113,Central Finland,2008,male,"Students, as % of total population",8.3
114,Central Finland,2009,combined,"Employed, as % of total population",39.8
115,Central Finland,2009,combined,"Students, as % of total population",8.8
116,Central Finland,2009,female,"Employed, as % of total population",38.8
117,Central Finland,2009,female,"Students, as % of total population",8.9
118,Central Finland,2009,male,"Employed, as % of total population",40.8
119,Central Finland,2009,male,"Students, as % of total population",8.7
120,Central Finland,2010,combined,"Employed, as % of total population",40.6
121,Central Finland,2010,combined,"Students, as % of total population",8.6
122,Central Finland,2010,female,"Employed, as % of total population",39.5
123,Central Finland,2010,female,"Students, as % of total population",8.7
124,Central Finland,2010,male,"Employed, as % of total population",41.7
125,Central Finland,2010,male,"Students, as % of total population",8.5
126,Central Finland,2011,combined,"Employed, as % of total population",40.7
127,Central Finland,2011,combined,"Students, as % of total population",8.4
128,Central Finland,2011,female,"Employed, as % of total population",39.7
129,Central Finland,2011,female,"Students, as % of total population",8.4
130,Central Finland,2011,male,"Employed, as % of total population",41.8
131,Central Finland,2011,male,"Students, as % of total population",8.5
132,Central Finland,2012,combined,"Employed, as % of total population",40.0
133,Central Finland,2012,combined,"Students, as % of total population",8.4
134,Central Finland,2012,female,"Employed, as % of total population",39.3
135,Central Finland,2012,female,"Students, as % of total population",8.4
136,Central Finland,2012,male,"Employed, as % of total population",40.7
137,Central Finland,2012,male,"Students, as % of total population",8.4
138,Central Finland,2013,combined,"Employed, as % of total population",38.7
139,Central Finland,2013,combined,"Students, as % of total population",8.4
140,Central Finland,2013,female,"Employed, as % of total population",38.4
141,Central Finland,2013,female,"Students, as % of total population",8.4
142,Central Finland,2013,male,"Employed, as % of total population",39.1
143,Central Finland,2013,male,"Students, as % of total population",8.4
144,Central Finland,2014,combined,"Employed, as % of total population",38.3
145,Central Finland,2014,combined,"Students, as % of total population",8.4
146,Central Finland,2014,female,"Employed, as % of total population",37.9
147,Central Finland,2014,female,"Students, as % of total population",8.4
148,Central Finland,2014,male,"Employed, as % of total population",38.8
149,Central Finland,2014,male,"Students, as % of total population",8.4
150,Central Finland,2015,combined,"Employed, as % of total population",38.0
151,Central Finland,2015,combined,"Students, as % of total population",8.5
152,Central Finland,2015,female,"Employed, as % of total population",37.5
153,Central Finland,2015,female,"Students, as % of total population",8.4
154,Central Finland,2015,male,"Employed, as % of total population",38.5
155,Central Finland,2015,male,"Students, as % of total population",8.5
156,Central Finland,2016,combined,"Employed, as % of total population",38.5
157,Central Finland,2016,combined,"Students, as % of total population",8.4
158,Central Finland,2016,female,"Employed, as % of total population",37.8
159,Central Finland,2016,female,"Students, as % of total population",8.2
160,Central Finland,2016,male,"Employed, as % of total population",39.2
161,Central Finland,2016,male,"Students, as % of total population",8.5
162,Central Finland,2017,combined,"Employed, as % of total population",39.4
163,Central Finland,2017,combined,"Students, as % of total population",8.1
164,Central Finland,2017,female,"Employed, as % of total population",38.5
165,Central Finland,2017,female,"Students, as % of total population",8.1
166,Central Finland,2017,male,"Employed, as % of total population",40.4
167,Central Finland,2017,male,"Students, as % of total population",8.2
168,Central Finland,2018,combined,"Employed, as % of total population",40.0
169,Central Finland,2018,combined,"Students, as % of total population",8.1
170,Central Finland,2018,female,"Employed, as % of total population",39.2
171,Central Finland,2018,female,"Students, as % of total population",8.1
172,Central Finland,2018,male,"Employed, as % of total population",40.8
173,Central Finland,2018,male,"Students, as % of total population",8.2
174,Central Finland,2019,combined,"Employed, as % of total population",39.8
175,Central Finland,2019,combined,"Students, as % of total population",8.3
176,Central Finland,2019,female,"Employed, as % of total population",39.2
177,Central Finland,2019,female,"Students, as % of total population",8.3
178,Central Finland,2019,male,"Employed, as % of total population",40.5
179,Central Finland,2019,male,"Students, as % of total population",8.3
180,Central Finland,2020,combined,"Employed, as % of total population",38.5
181,Central Finland,2020,combined,"Students, as % of total population",8.7
182,Central Finland,2020,female,"Employed, as % of total population",38.0
183,Central Finland,2020,female,"Students, as % of total population",8.7
184,Central Finland,2020,male,"Employed, as % of total population",39.0
185,Central Finland,2020,male,"Students, as % of total population",8.7
186,Central Finland,2021,combined,"Employed, as % of total population",39.8
187,Central Finland,2021,combined,"Students, as % of total population",8.8
188,Central Finland,2021,female,"Employed, as % of total population",39.1
189,Central Finland,2021,female,"Students, as % of total population",8.8
190,Central Finland,2021,male,"Employed, as % of total population",40.6
191,Central Finland,2021,male,"Students, as % of total population",8.8
192,Central Finland,2022,combined,"Employed, as % of total population",40.7
193,Central Finland,2022,combined,"Students, as % of total population",8.6
194,Central Finland,2022,female,"Employed, as % of total population",40.0
195,Central Finland,2022,female,"Students, as % of total population",8.6
196,Central Finland,2022,male,"Employed, as % of total population",41.3
197,Central Finland,2022,male,"Students, as % of total population",8.5
198,Central Ostrobothnia,1990,combined,"Employed, as % of total population",42.5
199,Central Ostrobothnia,1990,combined,"Students, as % of total population",7.8
200,Central Ostrobothnia,1990,female,"Employed, as % of total population",39.5
201,Central Ostrobothnia,1990,female,"Students, as % of total population",8.5
202,Central Ostrobothnia,1990,male,"Employed, as % of total population",45.6
203,Central Ostrobothnia,1990,male,"Students, as % of total population",7.1
204,Central Ostrobothnia,1991,combined,"Employed, as % of total population",39.1
205,Central Ostrobothnia,1991,combined,"Students, as % of total population",8.4
206,Central Ostrobothnia,1991,female,"Employed, as % of total population",36.5
207,Central Ostrobothnia,1991,female,"Students, as % of total population",9.2
208,Central Ostrobothnia,1991,male,"Employed, as % of total population",41.8
209,Central Ostrobothnia,1991,male,"Students, as % of total population",7.6
210,Central Ostrobothnia,1992,combined,"Employed, as % of total population",36.8
211,Central Ostrobothnia,1992,combined,"Students, as % of total population",8.9
212,Central Ostrobothnia,1992,female,"Employed, as % of total population",34.1
213,Central Ostrobothnia,1992,female,"Students, as % of total population",9.6
214,Central Ostrobothnia,1992,male,"Employed, as % of total population",39.6
215,Central Ostrobothnia,1992,male,"Students, as % of total population",8.3
216,Central Ostrobothnia,1993,combined,"Employed, as % of total population",34.1
217,Central Ostrobothnia,1993,combined,"Students, as % of total population",9.7
218,Central Ostrobothnia,1993,female,"Employed, as % of total population",31.5
219,Central Ostrobothnia,1993,female,"Students, as % of total population",10.5
220,Central Ostrobothnia,1993,male,"Employed, as % of total population",36.8
221,Central Ostrobothnia,1993,male,"Students, as % of total population",8.9
222,Central Ostrobothnia,1994,combined,"Employed, as % of total population",35.1
223,Central Ostrobothnia,1994,combined,"Students, as % of total population",10.1
224,Central Ostrobothnia,1994,female,"Employed, as % of total population",32.3
225,Central Ostrobothnia,1994,female,"Students, as % of total population",10.5
226,Central Ostrobothnia,1994,male,"Employed, as % of total population",37.9
227,Central Ostrobothnia,1994,male,"Students, as % of total population",9.8
228,Central Ostrobothnia,1995,combined,"Employed, as % of total population",35.0
229,Central Ostrobothnia,1995,combined,"Students, as % of total population",10.1
230,Central Ostrobothnia,1995,female,"Employed, as % of total population",31.7
231,Central Ostrobothnia,1995,female,"Students, as % of total population",10.6
232,Central Ostrobothnia,1995,male,"Employed, as % of total population",38.3
233,Central Ostrobothnia,1995,male,"Students, as % of total population",9.6
234,Central Ostrobothnia,1996,combined,"Employed, as % of total population",35.4
235,Central Ostrobothnia,1996,combined,"Students, as % of total population",10.0
236,Central Ostrobothnia,1996,female,"Employed, as % of total population",32.2
237,Central Ostrobothnia,1996,female,"Students, as % of total population",10.5
238,Central Ostrobothnia,1996,male,"Employed, as % of total population",38.6
239,Central Ostrobothnia,1996,male,"Students, as % of total population",9.6
240,Central Ostrobothnia,1997,combined,"Employed, as % of total population",36.5
241,Central Ostrobothnia,1997,combined,"Students, as % of total population",10.1
242,Central Ostrobothnia,1997,female,"Employed, as % of total population",32.9
243,Central Ostrobothnia,1997,female,"Students, as % of total population",10.6
244,Central Ostrobothnia,1997,male,"Employed, as % of total population",40.2
245,Central Ostrobothnia,1997,male,"Students, as % of total population",9.6
246,Central Ostrobothnia,1998,combined,"Employed, as % of total population",38.3
247,Central Ostrobothnia,1998,combined,"Students, as % of total population",9.3
248,Central Ostrobothnia,1998,female,"Employed, as % of total population",34.7
249,Central Ostrobothnia,1998,female,"Students, as % of total population",9.7
250,Central Ostrobothnia,1998,male,"Employed, as % of total population",41.9
251,Central Ostrobothnia,1998,male,"Students, as % of total population",9.0
252,Central Ostrobothnia,1999,combined,"Employed, as % of total population",38.8
253,Central Ostrobothnia,1999,combined,"Students, as % of total population",9.1
254,Central Ostrobothnia,1999,female,"Employed, as % of total population",35.3
255,Central Ostrobothnia,1999,female,"Students, as % of total population",9.2
256,Central Ostrobothnia,1999,male,"Employed, as % of total population",42.5
257,Central Ostrobothnia,1999,male,"Students, as % of total population",9.0
258,Central Ostrobothnia,2000,combined,"Employed, as % of total population",39.6
259,Central Ostrobothnia,2000,combined,"Students, as % of total population",8.7
260,Central Ostrobothnia,2000,female,"Employed, as % of total population",35.9
261,Central Ostrobothnia,2000,female,"Students, as % of total population",9.0
262,Central Ostrobothnia,2000,male,"Employed, as % of total population",43.3
263,Central Ostrobothnia,2000,male,"Students, as % of total population",8.4
264,Central Ostrobothnia,2001,combined,"Employed, as % of total population",40.0
265,Central Ostrobothnia,2001,combined,"Students, as % of total population",8.7
266,Central Ostrobothnia,2001,female,"Employed, as % of total population",36.3
267,Central Ostrobothnia,2001,female,"Students, as % of total population",9.0
268,Central Ostrobothnia,2001,male,"Employed, as % of total population",43.7
269,Central Ostrobothnia,2001,male,"Students, as % of total population",8.4
270,Central Ostrobothnia,2002,combined,"Employed, as % of total population",40.7
271,Central Ostrobothnia,2002,combined,"Students, as % of total population",8.6
272,Central Ostrobothnia,2002,female,"Employed, as % of total population",37.7
273,Central Ostrobothnia,2002,female,"Students, as % of total population",8.7
274,Central Ostrobothnia,2002,male,"Employed, as % of total population",43.9
275,Central Ostrobothnia,2002,male,"Students, as % of total population",8.6
276,Central Ostrobothnia,2003,combined,"Employed, as % of total population",40.6
277,Central Ostrobothnia,2003,combined,"Students, as % of total population",8.5
278,Central Ostrobothnia,2003,female,"Employed, as % of total population",37.6
279,Central Ostrobothnia,2003,female,"Students, as % of total population",8.7
280,Central Ostrobothnia,2003,male,"Employed, as % of total population",43.8
281,Central Ostrobothnia,2003,male,"Students, as % of total population",8.3
282,Central Ostrobothnia,2004,combined,"Employed, as % of total population",41.0
283,Central Ostrobothnia,2004,combined,"Students, as % of total population",8.5
284,Central Ostrobothnia,2004,female,"Employed, as % of total population",38.2
285,Central Ostrobothnia,2004,female,"Students, as % of total population",8.6
286,Central Ostrobothnia,2004,male,"Employed, as % of total population",43.8
287,Central Ostrobothnia,2004,male,"Students, as % of total population",8.4
288,Central Ostrobothnia,2005,combined,"Employed, as % of total population",40.7
289,Central Ostrobothnia,2005,combined,"Students, as % of total population",8.8
290,Central Ostrobothnia,2005,female,"Employed, as % of total population",37.9
291,Central Ostrobothnia,2005,female,"Students, as % of total population",8.8
292,Central Ostrobothnia,2005,male,"Employed, as % of total population",43.7
293,Central Ostrobothnia,2005,male,"Students, as % of total population",8.8
294,Central Ostrobothnia,2006,combined,"Employed, as % of total population",41.8
295,Central Ostrobothnia,2006,combined,"Students, as % of total population",8.6
296,Central Ostrobothnia,2006,female,"Employed, as % of total population",38.8
297,Central Ostrobothnia,2006,female,"Students, as % of total population",8.8
298,Central Ostrobothnia,2006,male,"Employed, as % of total population",44.9
299,Central Ostrobothnia,2006,male,"Students, as % of total population",8.4
300,Central Ostrobothnia,2007,combined,"Employed, as % of total population",42.7
301,Central Ostrobothnia,2007,combined,"Students, as % of total population",8.2
302,Central Ostrobothnia,2007,female,"Employed, as % of total population",39.8
303,Central Ostrobothnia,2007,female,"Students, as % of total population",8.3
304,Central Ostrobothnia,2007,male,"Employed, as % of total population",45.6
305,Central Ostrobothnia,2007,male,"Students, as % of total population",8.0
306,Central Ostrobothnia,2008,combined,"Employed, as % of total population",42.2
307,Central Ostrobothnia,2008,combined,"Students, as % of total population",7.9
308,Central Ostrobothnia,2008,female,"Employed, as % of total population",39.9
309,Central Ostrobothnia,2008,female,"Students, as % of total population",7.9
310,Central Ostrobothnia,2008,male,"Employed, as % of total population",44.5
311,Central Ostrobothnia,2008,male,"Students, as % of total population",7.9
312,Central Ostrobothnia,2009,combined,"Employed, as % of total population",40.9
313,Central Ostrobothnia,2009,combined,"Students, as % of total population",7.9
314,Central Ostrobothnia,2009,female,"Employed, as % of total population",39.3
315,Central Ostrobothnia,2009,female,"Students, as % of total population",8.1
316,Central Ostrobothnia,2009,male,"Employed, as % of total population",42.6
317,Central Ostrobothnia,2009,male,"Students, as % of total population",7.8
318,Central Ostrobothnia,2010,combined,"Employed, as % of total population",41.7
319,Central Ostrobothnia,2010,combined,"Students, as % of total population",8.0
320,Central Ostrobothnia,2010,female,"Employed, as % of total population",39.8
321,Central Ostrobothnia,2010,female,"Students, as % of total population",8.2
322,Central Ostrobothnia,2010,male,"Employed, as % of total population",43.6
323,Central Ostrobothnia,2010,male,"Students, as % of total population",7.7
324,Central Ostrobothnia,2011,combined,"Employed, as % of total population",41.8
325,Central Ostrobothnia,2011,combined,"Students, as % of total population",7.8
326,Central Ostrobothnia,2011,female,"Employed, as % of total population",40.1
327,Central Ostrobothnia,2011,female,"Students, as % of total population",8.1
328,Central Ostrobothnia,2011,male,"Employed, as % of total population",43.5
329,Central Ostrobothnia,2011,male,"Students, as % of total population",7.5
330,Central Ostrobothnia,2012,combined,"Employed, as % of total population",41.6
331,Central Ostrobothnia,2012,combined,"Students, as % of total population",7.7
332,Central Ostrobothnia,2012,female,"Employed, as % of total population",40.2
333,Central Ostrobothnia,2012,female,"Students, as % of total population",8.0
334,Central Ostrobothnia,2012,male,"Employed, as % of total population",43.1
335,Central Ostrobothnia,2012,male,"Students, as % of total population",7.5
336,Central Ostrobothnia,2013,combined,"Employed, as % of total population",41.1
337,Central Ostrobothnia,2013,combined,"Students, as % of total population",7.7
338,Central Ostrobothnia,2013,female,"Employed, as % of total population",39.8
339,Central Ostrobothnia,2013,female,"Students, as % of total population",7.8
340,Central Ostrobothnia,2013,male,"Employed, as % of total population",42.4
341,Central Ostrobothnia,2013,male,"Students, as % of total population",7.5
342,Central Ostrobothnia,2014,combined,"Employed, as % of total population",40.4
343,Central Ostrobothnia,2014,combined,"Students, as % of total population",7.3
344,Central Ostrobothnia,2014,female,"Employed, as % of total population",39.3
345,Central Ostrobothnia,2014,female,"Students, as % of total population",7.3
346,Central Ostrobothnia,2014,male,"Employed, as % of total population",41.5
347,Central Ostrobothnia,2014,male,"Students, as % of total population",7.2
348,Central Ostrobothnia,2015,combined,"Employed, as % of total population",40.0
349,Central Ostrobothnia,2015,combined,"Students, as % of total population",7.2
350,Central Ostrobothnia,2015,female,"Employed, as % of total population",38.9
351,Central Ostrobothnia,2015,female,"Students, as % of total population",7.2
352,Central Ostrobothnia,2015,male,"Employed, as % of total population",41.1
353,Central Ostrobothnia,2015,male,"Students, as % of total population",7.3
354,Central Ostrobothnia,2016,combined,"Employed, as % of total population",39.7
355,Central Ostrobothnia,2016,combined,"Students, as % of total population",7.2
356,Central Ostrobothnia,2016,female,"Employed, as % of total population",38.5
357,Central Ostrobothnia,2016,female,"Students, as % of total population",7.3
358,Central Ostrobothnia,2016,male,"Employed, as % of total population",40.9
359,Central Ostrobothnia,2016,male,"Students, as % of total population",7.1
360,Central Ostrobothnia,2017,combined,"Employed, as % of total population",40.6
361,Central Ostrobothnia,2017,combined,"Students, as % of total population",7.0
362,Central Ostrobothnia,2017,female,"Employed, as % of total population",39.6
363,Central Ostrobothnia,2017,female,"Students, as % of total population",7.1
364,Central Ostrobothnia,2017,male,"Employed, as % of total population",41.7
365,Central Ostrobothnia,2017,male,"Students, as % of total population",6.9
366,Central Ostrobothnia,2018,combined,"Employed, as % of total population",41.3
367,Central Ostrobothnia,2018,combined,"Students, as % of total population",6.7
368,Central Ostrobothnia,2018,female,"Employed, as % of total population",40.3
369,Central Ostrobothnia,2018,female,"Students, as % of total population",6.9
370,Central Ostrobothnia,2018,male,"Employed, as % of total population",42.3
371,Central Ostrobothnia,2018,male,"Students, as % of total population",6.6
372,Central Ostrobothnia,2019,combined,"Employed, as % of total population",40.9
373,Central Ostrobothnia,2019,combined,"Students, as % of total population",6.8
374,Central Ostrobothnia,2019,female,"Employed, as % of total population",39.9
375,Central Ostrobothnia,2019,female,"Students, as % of total population",6.7
376,Central Ostrobothnia,2019,male,"Employed, as % of total population",41.9
377,Central Ostrobothnia,2019,male,"Students, as % of total population",6.8
378,Central Ostrobothnia,2020,combined,"Employed, as % of total population",40.2
379,Central Ostrobothnia,2020,combined,"Students, as % of total population",6.9
380,Central Ostrobothnia,2020,female,"Employed, as % of total population",39.6
381,Central Ostrobothnia,2020,female,"Students, as % of total population",6.9
382,Central Ostrobothnia,2020,male,"Employed, as % of total population",40.8
383,Central Ostrobothnia,2020,male,"Students, as % of total population",7.0
384,Central Ostrobothnia,2021,combined,"Employed, as % of total population",40.9
385,Central Ostrobothnia,2021,combined,"Students, as % of total population",7.1
386,Central Ostrobothnia,2021,female,"Employed, as % of total population",39.8
387,Central Ostrobothnia,2021,female,"Students, as % of total population",7.1
388,Central Ostrobothnia,2021,male,"Employed, as % of total population",42.1
389,Central Ostrobothnia,2021,male,"Students, as % of total population",7.0
390,Central Ostrobothnia,2022,combined,"Employed, as % of total population",41.5
391,Central Ostrobothnia,2022,combined,"Students, as % of total population",6.9
392,Central Ostrobothnia,2022,female,"Employed, as % of total population",40.7
393,Central Ostrobothnia,2022,female,"Students, as % of total population",6.9
394,Central Ostrobothnia,2022,male,"Employed, as % of total population",42.2
395,Central Ostrobothnia,2022,male,"Students, as % of total population",6.8
396,Kainuu,1990,combined,"Employed, as % of total population",40.7
397,Kainuu,1990,combined,"Students, as % of total population",7.7
398,Kainuu,1990,female,"Employed, as % of total population",39.1
399,Kainuu,1990,female,"Students, as % of total population",8.4
400,Kainuu,1990,male,"Employed, as % of total population",42.3
401,Kainuu,1990,male,"Students, as % of total population",7.0
402,Kainuu,1991,combined,"Employed, as % of total population",37.4
403,Kainuu,1991,combined,"Students, as % of total population",8.1
404,Kainuu,1991,female,"Employed, as % of total population",36.7
405,Kainuu,1991,female,"Students, as % of total population",8.9
406,Kainuu,1991,male,"Employed, as % of total population",38.1
407,Kainuu,1991,male,"Students, as % of total population",7.3
408,Kainuu,1992,combined,"Employed, as % of total population",33.8
409,Kainuu,1992,combined,"Students, as % of total population",8.5
410,Kainuu,1992,female,"Employed, as % of total population",33.1
411,Kainuu,1992,female,"Students, as % of total population",9.1
412,Kainuu,1992,male,"Employed, as % of total population",34.5
413,Kainuu,1992,male,"Students, as % of total population",7.9
414,Kainuu,1993,combined,"Employed, as % of total population",31.9
415,Kainuu,1993,combined,"Students, as % of total population",9.3
416,Kainuu,1993,female,"Employed, as % of total population",31.0
417,Kainuu,1993,female,"Students, as % of total population",10.0
418,Kainuu,1993,male,"Employed, as % of total population",32.8
419,Kainuu,1993,male,"Students, as % of total population",8.7
420,Kainuu,1994,combined,"Employed, as % of total population",32.6
421,Kainuu,1994,combined,"Students, as % of total population",9.6
422,Kainuu,1994,female,"Employed, as % of total population",31.3
423,Kainuu,1994,female,"Students, as % of total population",10.2
424,Kainuu,1994,male,"Employed, as % of total population",34.0
425,Kainuu,1994,male,"Students, as % of total population",9.1
426,Kainuu,1995,combined,"Employed, as % of total population",32.0
427,Kainuu,1995,combined,"Students, as % of total population",9.9
428,Kainuu,1995,female,"Employed, as % of total population",31.2
429,Kainuu,1995,female,"Students, as % of total population",10.5
430,Kainuu,1995,male,"Employed, as % of total population",32.7
431,Kainuu,1995,male,"Students, as % of total population",9.3
432,Kainuu,1996,combined,"Employed, as % of total population",31.3
433,Kainuu,1996,combined,"Students, as % of total population",9.5
434,Kainuu,1996,female,"Employed, as % of total population",31.0
435,Kainuu,1996,female,"Students, as % of total population",10.0
436,Kainuu,1996,male,"Employed, as % of total population",31.5
437,Kainuu,1996,male,"Students, as % of total population",9.0
438,Kainuu,1997,combined,"Employed, as % of total population",32.8
439,Kainuu,1997,combined,"Students, as % of total population",9.9
440,Kainuu,1997,female,"Employed, as % of total population",31.7
441,Kainuu,1997,female,"Students, as % of total population",10.5
442,Kainuu,1997,male,"Employed, as % of total population",33.9
443,Kainuu,1997,male,"Students, as % of total population",9.4
444,Kainuu,1998,combined,"Employed, as % of total population",34.3
445,Kainuu,1998,combined,"Students, as % of total population",8.9
446,Kainuu,1998,female,"Employed, as % of total population",32.9
447,Kainuu,1998,female,"Students, as % of total population",9.3
448,Kainuu,1998,male,"Employed, as % of total population",35.7
449,Kainuu,1998,male,"Students, as % of total population",8.6
450,Kainuu,1999,combined,"Employed, as % of total population",34.7
451,Kainuu,1999,combined,"Students, as % of total population",8.8
452,Kainuu,1999,female,"Employed, as % of total population",33.0
453,Kainuu,1999,female,"Students, as % of total population",9.2
454,Kainuu,1999,male,"Employed, as % of total population",36.3
455,Kainuu,1999,male,"Students, as % of total population",8.4
456,Kainuu,2000,combined,"Employed, as % of total population",35.3
457,Kainuu,2000,combined,"Students, as % of total population",8.5
458,Kainuu,2000,female,"Employed, as % of total population",33.5
459,Kainuu,2000,female,"Students, as % of total population",8.7
460,Kainuu,2000,male,"Employed, as % of total population",37.0
461,Kainuu,2000,male,"Students, as % of total population",8.2
462,Kainuu,2001,combined,"Employed, as % of total population",34.5
463,Kainuu,2001,combined,"Students, as % of total population",8.3
464,Kainuu,2001,female,"Employed, as % of total population",33.4
465,Kainuu,2001,female,"Students, as % of total population",8.5
